date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:40	21140/21140	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2017:25:38%20GMT	https://cimenlertasimacilik.com/robots.txt		(from )
20:25:41	49057/49057	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:38%20GMT	https://cimenlertasimacilik.com/	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/index.html	(from )
20:25:41	341/341	---M--	200	added ('OK')	text/css	etag:%22155-584230b4ef900%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/css/base.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/css/base.css	(from https://cimenlertasimacilik.com/)
20:25:41	9686/9686	---M--	200	added ('OK')	text/css	etag:%2225d6-5831c9f455f80%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://cimenlertasimacilik.com/)
20:25:41	41480/41480	---M--	200	added ('OK')	text/css	etag:%22a208-5831c9f455f80%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/fonts/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/fonts/font-awesome/css/font-awesome.css	(from https://cimenlertasimacilik.com/)
20:25:41	30009/30009	---M--	200	added ('OK')	text/css	etag:%227539-583596ecfe680%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/settings.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/settings.css	(from https://cimenlertasimacilik.com/)
20:25:42	141765/141765	---M--	200	added ('OK')	text/css	etag:%22229c5-5831c998c8780%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/layers.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/layers.css	(from https://cimenlertasimacilik.com/)
20:25:42	59576/59576	---M--	200	added ('OK')	text/css	etag:%22e8b8-5831c998c8780%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/navigation.css	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/rev-slider/revolution/css/navigation.css	(from https://cimenlertasimacilik.com/)
20:25:42	25087/25087	---M--	200	added ('OK')	image/png	etag:%2261ff-583597e30ab00%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/logo_footer.png	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/logo_footer.png	(from https://cimenlertasimacilik.com/)
20:25:43	25506/25506	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:40%20GMT	https://cimenlertasimacilik.com/kurumsal	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/kurumsal.html	(from https://cimenlertasimacilik.com/)
20:25:43	27680/27680	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:41%20GMT	https://cimenlertasimacilik.com/hizmetlerimiz	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/hizmetlerimiz.html	(from https://cimenlertasimacilik.com/)
20:25:43	19718/19718	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:41%20GMT	https://cimenlertasimacilik.com/belgeler	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/belgeler.html	(from https://cimenlertasimacilik.com/)
20:25:44	39232/39232	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:42%20GMT	https://cimenlertasimacilik.com/filo	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/filo.html	(from https://cimenlertasimacilik.com/)
20:25:44	19992/19992	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:42%20GMT	https://cimenlertasimacilik.com/blog	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/blog.html	(from https://cimenlertasimacilik.com/)
20:25:45	24708/24708	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:42%20GMT	https://cimenlertasimacilik.com/iletisim	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/iletisim.html	(from https://cimenlertasimacilik.com/)
20:25:45	95548/95548	---M--	200	added ('OK')	image/jpeg	etag:%221753c-5835e271e1280%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/banner_slider.jpeg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/banner_slider.jpg	(from https://cimenlertasimacilik.com/)
20:25:45	161221/161221	---M--	200	added ('OK')	image/jpeg	etag:%22275c5-5845e7f794700%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/banner_slider-2.jpeg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/banner_slider-2.jpg	(from https://cimenlertasimacilik.com/)
20:25:45	58694/58694	---M--	200	added ('OK')	image/jpeg	etag:%22e546-5835e380b9180%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/icon-box-1.jpg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/icon-box-1.jpg	(from https://cimenlertasimacilik.com/)
20:25:45	32252/32252	---M--	200	added ('OK')	image/jpeg	etag:%227dfc-5835e48237100%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/container.jpg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/container.jpg	(from https://cimenlertasimacilik.com/)
20:25:45	53253/53253	---M--	200	added ('OK')	image/jpeg	etag:%22d005-5835e34598600%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/icon-box-3.jpeg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/icon-box-3.jpg	(from https://cimenlertasimacilik.com/)
20:25:46	239816/239816	---M--	200	added ('OK')	image/png	etag:%223a8c8-5845e5eb0f180%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/business-man.png	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/business-man.png	(from https://cimenlertasimacilik.com/)
20:25:46	189804/189804	---M--	200	added ('OK')	image/png	etag:%222e56c-5835e78c69d00%22	https://cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/tir.png	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/themes/cimenler-tasimacilik/assets/images/tir.png	(from https://cimenlertasimacilik.com/)
20:25:46	25087/25087	---M--	200	added ('OK')	image/png	etag:%2261ff-588c2c2283080%22	https://cimenlertasimacilik.com/storage/app/uploads/public/5cd/94d/337/5cd94d3372ad1614868587.png	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/storage/app/uploads/public/5cd/94d/337/5cd94d3372ad1614868587.png	(from https://cimenlertasimacilik.com/)
20:25:47	20539/20539	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2017:25:44%20GMT	https://cimenlertasimacilik.com/blog-detay/web-sitemiz-acildi	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/blog-detay/web-sitemiz-acildi.html	(from https://cimenlertasimacilik.com/)
20:25:47	108016/108016	---M--	200	added ('OK')	image/jpeg	etag:%221a5f0-588c2c0216400%22	https://cimenlertasimacilik.com/storage/app/uploads/public/5cd/94d/119/5cd94d11952b0483401981.jpg	C:/My%20Web%20Sites/test/cimenlertasimacilik.com/storage/app/uploads/public/5cd/94d/119/5cd94d11952b0483401981.jpg	(from https://cimenlertasimacilik.com/)
20:25:49	4568/4568	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-11d8%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	C:/My%20Web%20Sites/test/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	(from https://cimenlertasimacilik.com/)
